index;index_relation;contexte
0;50;Contrats signés
0;51;En discussion avec
1;52;Connaissance proche
15;60;Ami
18;61;Contrats signés
19;62;En discussion avec
4;62;Contrats signés
7;62;En discussion avec
12;63;Connaissance proche
2;70;Famille
3;70;Contrats signés
10;71;En discussion avec
8;72;Contrats signés
5;72;Contrats signés
13;73;En discussion avec
18;74;En discussion avec
14;80;Contrats signés
2;80;En discussion avec
0;81;Contrats signés
1;82;Déjeuner avec
3;83;Connaissance proche
17;84;Connaissance proche
10;90;Contrats signés
11;92;En discussion avec
0;92;Connaissance proche
20;55;Déjeuner avec
21;55;Connaissance proche
30;55;Anciens collègues
32;55;Connaissance proche
34;57;Anciens collègues
21;65;Contrats signés
22;66;En discussion avec
27;67;Connaissance proche
20;75;Anciens collègues
21;75;Contrats signés
23;77;En discussion avec
24;85;Ami
25;95;En discussion avec
28;96;Anciens collègues
30;96;Contrats signés
31;97;En discussion avec
32;48;Contrats signés
48;49;Anciens collègues
48;58;Connaissance proche
49;68;Contrats signés
12;68;Anciens collègues
0;69;Déjeuner avec
48;78;Ami
0;78;Anciens collègues
43;79;Déjeuner avec
49;79;En discussion avec
44;79;Anciens collègues
48;88;Déjeuner avec
49;89;En discussion avec
45;89;Contrats signés
47;99;Connaissance proche
