index;index_relation;nom
0;40;SUPERIEUR
1;0;SUPERIEUR
2;0;SUPERIEUR
3;0;SUPERIEUR
4;0;SUPERIEUR
5;1;SUPERIEUR
6;1;SUPERIEUR
7;1;SUPERIEUR
8;2;SUPERIEUR
9;2;SUPERIEUR
10;2;SUPERIEUR
11;2;SUPERIEUR
12;3;SUPERIEUR
13;3;SUPERIEUR
14;3;SUPERIEUR
15;4;SUPERIEUR
16;4;SUPERIEUR
17;4;SUPERIEUR
18;4;SUPERIEUR
19;4;SUPERIEUR
20;41;SUPERIEUR
21;20;SUPERIEUR
22;20;SUPERIEUR
23;20;SUPERIEUR
24;20;SUPERIEUR
25;21;SUPERIEUR
26;21;SUPERIEUR
27;21;SUPERIEUR
28;22;SUPERIEUR
29;23;SUPERIEUR
30;23;SUPERIEUR
31;23;SUPERIEUR
32;23;SUPERIEUR
33;24;SUPERIEUR
34;24;SUPERIEUR
35;24;SUPERIEUR
36;46;SUPERIEUR
37;47;SUPERIEUR
38;48;SUPERIEUR
39;48;SUPERIEUR
40;49;SUPERIEUR
41;49;SUPERIEUR
42;40;SUPERIEUR
43;41;SUPERIEUR
44;49;SUPERIEUR
45;49;SUPERIEUR
46;48;SUPERIEUR
47;48;SUPERIEUR
48;49;SUPERIEUR
50;59;SUPERIEUR
51;50;SUPERIEUR
52;50;SUPERIEUR
53;50;SUPERIEUR
54;53;SUPERIEUR
55;59;SUPERIEUR
56;55;SUPERIEUR
57;55;SUPERIEUR
58;59;SUPERIEUR
60;69;SUPERIEUR
61;60;SUPERIEUR
62;60;SUPERIEUR
63;60;SUPERIEUR
64;60;SUPERIEUR
65;69;SUPERIEUR
66;65;SUPERIEUR
67;65;SUPERIEUR
68;69;SUPERIEUR
70;79;SUPERIEUR
71;70;SUPERIEUR
72;70;SUPERIEUR
73;70;SUPERIEUR
74;70;SUPERIEUR
75;79;SUPERIEUR
76;75;SUPERIEUR
77;75;SUPERIEUR
78;79;SUPERIEUR
79;89;SUPERIEUR
80;89;SUPERIEUR
81;80;SUPERIEUR
82;80;SUPERIEUR
83;81;SUPERIEUR
84;82;SUPERIEUR
85;89;SUPERIEUR
86;85;SUPERIEUR
87;86;SUPERIEUR
88;89;SUPERIEUR
90;99;SUPERIEUR
91;99;SUPERIEUR
92;99;SUPERIEUR
93;99;SUPERIEUR
94;99;SUPERIEUR
95;99;SUPERIEUR
96;99;SUPERIEUR
97;99;SUPERIEUR
98;99;SUPERIEUR
